PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,No. of inlinks dofollow,No. of inlinks nofollow,No. of href inlinks
0,https://kroam.xyz/leaderboard?competition=bundesliga,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=laliga,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=seriea,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=eredivisie,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=superlig,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=bundesliga,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=seriea,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=uel,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=uel,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=ligue1,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=superlig,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=laliga,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=epl,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=epl,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/matches?tab=finished,Football Match Predictions | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=ucl,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=uecl,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/blog?competition=ucl,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=ligue1,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
0,https://kroam.xyz/leaderboard?competition=eredivisie,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,0,1,1,0,1
