Link type,Is nofollow,Source URL,Source HTTP status code,Target URL,Target HTTP status code,Anchor,No. of dofollow inlinks to target,No. of nofollow inlinks to target,Is source canonical,Is source noindex,Is target canonical,Is target noindex,Is link internal
Href link,false,https://kroam.xyz/leagues/bundesliga,200,https://kroam.xyz/leagues/bundesliga/fc-augsburg-vs-fc-st-pauli-2026-01-31,200,Bundesliga·Regular Season - 20FT FC Augsburg team logo FC Augsburg2-1FC St. Pauli FC St. Pauli team logo H:3D:2A:6--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/bundesliga,200,https://kroam.xyz/leagues/bundesliga/1899-hoffenheim-vs-union-berlin-2026-01-31,200,Bundesliga·Regular Season - 20FT 1899 Hoffenheim team logo 1899 Hoffenheim3-1Union Berlin Union Berlin team logo H:2D:4A:6--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/uel,200,https://kroam.xyz/leagues/uel/lyon-vs-paok-2026-01-29,200,UEFA Europa League·League Stage - 8FT Lyon team logo Lyon4-2PAOK PAOK team logo H:2D:2A:6--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/seriea,200,https://kroam.xyz/leagues/seriea/genoa-vs-napoli-2026-02-07,200,Serie A·Regular Season - 2417:00 Genoa team logo GenoavsNapoli Napoli team logo Stadio Luigi Ferraris,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/ucl,200,https://kroam.xyz/leagues/ucl/ajax-vs-olympiakos-piraeus-2026-01-28,200,UEFA Champions League·League Stage - 8FT Ajax team logo Ajax1-2Olympiakos Piraeus Olympiakos Piraeus team logo H:6D:4A:2--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/eredivisie,200,https://kroam.xyz/leagues/eredivisie/pec-zwolle-vs-fc-volendam-2026-02-07,200,Eredivisie·Regular Season - 2217:45 PEC Zwolle team logo PEC ZwollevsFC Volendam FC Volendam team logo MAC³PARK Stadion,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/uel,200,https://kroam.xyz/leagues/uel/go-ahead-eagles-vs-sc-braga-2026-01-29,200,UEFA Europa League·League Stage - 8FT GO Ahead Eagles team logo GO Ahead Eagles0-0SC Braga SC Braga team logo H:6D:6A:2--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/superlig,200,https://kroam.xyz/leagues/superlig/eypspor-vs-beikta-2026-01-26,200,Turkish Super Lig·Regular Season - 19FT Eyüpspor team logo Eyüpspor2-2Beşiktaş Beşiktaş team logo H:6D:6A:2--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/laliga,200,https://kroam.xyz/leagues/laliga/sevilla-vs-girona-2026-02-07,200,La Liga·Regular Season - 2317:30 Sevilla team logo SevillavsGirona Girona team logo Estadio Ramón Sánchez Pizjuán,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/epl,200,https://kroam.xyz/leagues/epl/wolves-vs-chelsea-2026-02-07,200,Premier League·Regular Season - 2515:00 Wolves team logo WolvesvsChelsea Chelsea team logo Molineux Stadium,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/ucl,200,https://kroam.xyz/leagues/ucl/pafos-vs-slavia-praha-2026-01-28,200,UEFA Champions League·League Stage - 8FT Pafos team logo Pafos4-1Slavia Praha Slavia Praha team logo H:5D:3A:2--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/epl,200,https://kroam.xyz/leagues/epl/brighton-vs-everton-2026-01-31,200,Premier League·Regular Season - 24FT Brighton team logo Brighton1-1Everton Everton team logo H:6D:2A:4--,1,0,true,false,true,false,true
Href link,false,https://kroam.xyz/leagues/laliga,200,https://kroam.xyz/leagues/laliga/real-sociedad-vs-elche-2026-02-07,200,La Liga·Regular Season - 2320:00 Real Sociedad team logo Real SociedadvsElche Elche team logo Reale Arena,1,0,true,false,true,false,true
