PR,URL,Title,Content type,Is rendered page,HTTP status code,SERP title,No. of content words,Page text,Extracted text (raw <body>) (length),Text hash,Organic traffic,Is indexable page
40,https://kroam.xyz/blog,AI Football Analysis Blog | Kroam,text/html; charset=utf-8,false,200,,652,<truncated>,3969,17476013532665504064,0,true
40,https://kroam.xyz/leaderboard,AI Model Leaderboard | Kroam,text/html; charset=utf-8,false,200,,1582,<truncated>,7860,2264426233210647090,0,true
39,https://kroam.xyz/leagues/euro,UEFA Euro AI Predictions | Kroam,text/html; charset=utf-8,false,200,,360,<truncated>,2309,15390419040079669838,0,true
39,https://kroam.xyz/leagues/uecl,UEFA Conference League AI Predictions | Kroam,text/html; charset=utf-8,false,200,,373,<truncated>,2474,17534409681709799367,0,true
39,https://kroam.xyz/leagues/wc-qual-europe,World Cup Qualifiers - Europe AI Predictions | Kroam,text/html; charset=utf-8,false,200,,399,<truncated>,2565,1914428856406331639,0,true
39,https://kroam.xyz/methodology,Prediction Methodology | Kroam,text/html; charset=utf-8,false,200,,521,<truncated>,3469,18103301661711109853,0,true
39,https://kroam.xyz/leagues/ligue1,Ligue 1 AI Predictions | Kroam,text/html; charset=utf-8,false,200,,842,<truncated>,4264,3491683392840992855,0,true
39,https://kroam.xyz/leagues/eredivisie,Eredivisie AI Predictions | Kroam,text/html; charset=utf-8,false,200,,832,<truncated>,4534,1595449650481668198,0,true
39,https://kroam.xyz/leagues/world-cup,FIFA World Cup AI Predictions | Kroam,text/html; charset=utf-8,false,200,,373,<truncated>,2370,17108406810079008954,0,true
39,https://kroam.xyz/leagues/epl,Premier League AI Predictions | Kroam,text/html; charset=utf-8,false,200,,892,<truncated>,4823,15512417254905485881,0,true
39,https://kroam.xyz/leagues/copa-america,Copa America AI Predictions | Kroam,text/html; charset=utf-8,false,200,,360,<truncated>,2344,16109667513030237518,0,true
39,https://kroam.xyz/leagues/afcon,Africa Cup of Nations AI Predictions | Kroam,text/html; charset=utf-8,false,200,,386,<truncated>,2461,18057171149690997615,0,true
39,https://kroam.xyz/leagues/seriea,Serie A AI Predictions | Kroam,text/html; charset=utf-8,false,200,,824,<truncated>,4174,15539472410433031960,0,true
39,https://kroam.xyz/leagues/nations-league,UEFA Nations League AI Predictions | Kroam,text/html; charset=utf-8,false,200,,373,<truncated>,2435,15649542577287728022,0,true
39,https://kroam.xyz/leagues/ucl,UEFA Champions League AI Predictions | Kroam,text/html; charset=utf-8,false,200,,815,<truncated>,4368,3211465230039795838,0,true
39,https://kroam.xyz/leagues/laliga,La Liga AI Predictions | Kroam,text/html; charset=utf-8,false,200,,858,<truncated>,4393,15754038181172308251,0,true
39,https://kroam.xyz/leagues/superlig,Turkish Super Lig AI Predictions | Kroam,text/html; charset=utf-8,false,200,,839,<truncated>,4546,18342909715280417574,0,true
39,https://kroam.xyz/,AI Football Predictions | Kroam,text/html; charset=utf-8,false,200,,497,<truncated>,2752,1442178898434111639,0,true
39,https://kroam.xyz/matches,Football Match Predictions | Kroam,text/html; charset=utf-8,false,200,,146,<truncated>,920,16722416830255960454,0,true
39,https://kroam.xyz/leagues/wc-qual-southamerica,World Cup Qualifiers - South America AI Predictions | Kroam,text/html; charset=utf-8,false,200,,412,<truncated>,2656,15934521325703918445,0,true
39,https://kroam.xyz/leagues/uel,UEFA Europa League AI Predictions | Kroam,text/html; charset=utf-8,false,200,,821,<truncated>,4197,1555250898289608185,0,true
39,https://kroam.xyz/leagues/bundesliga,Bundesliga AI Predictions | Kroam,text/html; charset=utf-8,false,200,,891,<truncated>,4876,4457760983193779207,0,true
35,https://kroam.xyz/models/llama-3.2-3b-turbo,Llama 3.2 3B Turbo (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,601,<truncated>,2856,16236823853533401418,0,true
34,https://kroam.xyz/models/llama-3.3-70b-turbo,Llama 3.3 70B Turbo (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,601,<truncated>,2866,4337346157635333740,0,true
34,https://kroam.xyz/models/qwen2.5-7b-turbo,Qwen 2.5 7B Turbo (Alibaba) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,601,<truncated>,2858,17157397890907183871,0,true
34,https://kroam.xyz/models/cogito-70b,Cogito v2 70B (Deep Cogito) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,601,<truncated>,2862,17813801156308294412,0,true
34,https://kroam.xyz/models/llama-3-8b-lite,Llama 3 8B Lite (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,601,<truncated>,2858,17260119154578291038,0,true
32,https://kroam.xyz/models/llama-3.1-8b-turbo,Llama 3.1 8B Turbo (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,602,<truncated>,2869,960850760162150641,0,true
32,https://kroam.xyz/models/gemma-3n-e4b,Gemma 3n E4B (Google) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2856,891232615979974326,0,true
31,https://kroam.xyz/models/qwen3-next-80b-instruct,Qwen3 Next 80B (Alibaba) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2870,17164398853019317146,0,true
31,https://kroam.xyz/models/ministral-3-14b,Ministral 3 14B (Mistral) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2874,875277064756850953,0,true
31,https://kroam.xyz/models/llama-4-maverick,Llama 4 Maverick (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2864,15804931822478780990,0,true
31,https://kroam.xyz/models/marin-8b-instruct,Marin 8B Instruct (Marin Community) Football Predictions,text/html; charset=utf-8,false,200,,600,<truncated>,2892,1247604753733646562,0,true
31,https://kroam.xyz/models/mistral-7b-v0.3,Mistral 7B v0.3 (Mistral) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2873,394505296193393153,0,true
31,https://kroam.xyz/models/cogito-109b-moe,Cogito v2 109B MoE (Deep Cogito) Football Predictions,text/html; charset=utf-8,false,200,,603,<truncated>,2888,18415668082523218996,0,true
31,https://kroam.xyz/models/cogito-405b,Cogito v2 405B (Deep Cogito) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,602,<truncated>,2878,3550476759379286315,0,true
31,https://kroam.xyz/models/llama-4-scout,Llama 4 Scout (Meta) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2857,17249941287746891706,0,true
31,https://kroam.xyz/models/mistral-7b-v0.2,Mistral 7B v0.2 (Mistral) Football Predictions | Kroam,text/html; charset=utf-8,false,200,,599,<truncated>,2872,15110242562172956863,0,true
